"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"beta4_aux[2]",-0.954580425646378,0.00422862432155885,0.667392122074228,-2.66096847653842,-2.25448009403401,-1.40362163387866,-0.961662011644217,-0.506407652427667,0.362733958603491,0.778726306839512,24909.438910657,1.00010518418823
"beta_hat2",-0.719647185848044,0.00727964113882227,1.30862109386379,-4.91136990109249,-3.55006204086598,-1.45851343650467,-0.642492971707553,0.0956112474859253,1.68992265188659,2.8143088113819,32315.2776513105,1.00004404068924
"beta_hat3",-0.724379841016908,0.00761067513850795,1.30800654952346,-4.92685971523458,-3.55275231540398,-1.46532459557235,-0.64946129985773,0.0992462724562559,1.69598416430584,2.77196556040326,29537.4818828,0.999960091816675
"beta_hat4",-0.711863410029039,0.00728922329952064,1.30602712401632,-4.97893587932554,-3.52412675879726,-1.46173632586753,-0.634493256621927,0.119204297422274,1.69202769452627,2.66788665102707,32102.7239138736,0.999972564553257
"tau_beta2",1.88122257587266,0.0155269996630291,1.8426997807216,0.35065193909661,0.453697078886432,0.892257546125107,1.37025866997649,2.21347802192545,6.4185794737019,11.5913891240661,14084.2615397207,1.00016890327796
"alpha_aux",-1.00889529635132,0.00488034354055673,0.866177469625889,-3.15683126072727,-2.67528268962506,-1.59949450077142,-1.02738838890971,-0.4263141241525,0.723176395648004,1.27690339814344,31500.1757958066,1.00009610239518
"phi_sqrt_inv",0.416665056688962,0.000178317289680697,0.0358392970391466,0.333555138999575,0.352102871678647,0.391750533233323,0.414717347806116,0.439978475408387,0.491206261047198,0.518982989498928,40395.413348231,1.00015637070093
"alpha",-2.9515782566145,0.011450794081545,2.03538301183304,-8.50842900617953,-6.97672657533619,-4.25858220229328,-2.9712675047713,-1.64716165431162,1.12795259438344,2.67110768901231,31595.1979793569,0.99998101459556
"sigma",2.20827725527123,0.0038179739759458,0.464467353710121,1.35947216699819,1.49773027943035,1.8799974330167,2.14035719909426,2.45962772396952,3.30925607004694,3.85375454856991,14799.4119818725,1.00037072859986
"tau_beta",1.28012862036628,0.00417285626233922,0.49244223384639,0.592158710744858,0.673570396352692,0.94459385243007,1.17058048417109,1.48777620020776,2.53349155644989,3.40461289557017,13926.5561588865,1.0002046044437
"log_lambda[1]",9.43121935957458,0.00053848501993161,0.107276388587641,9.15751256923374,9.22279192354195,9.35836575986169,9.42949210564355,9.50291454663683,9.6437057615972,9.71372184328371,39688.1666028598,1.00003809453161
"log_lambda[2]",7.53614076961292,0.000524908123489795,0.103245720020296,7.2751783630166,7.33611822258627,7.4671176387249,7.53520753191832,7.60457594558493,7.74182639895771,7.80853131507068,38688.1111328826,1.00000248020463
"log_lambda[3]",6.95061363603353,0.000586389854192087,0.116481653905855,6.65860742934286,6.72656477668699,6.87167119398513,6.94910178963065,7.02747362382869,7.18228801128031,7.25471934561768,39458.644495593,1.00004331552575
"log_lambda[4]",5.05553504607187,0.000610777735424804,0.122152635304005,4.74268767555434,4.81760963641044,4.97237110663999,5.05446954191992,5.13660973988552,5.29851085867343,5.37952636164602,39998.0930894609,1.00001541182229
"log_lambda[5]",10.0640569834118,0.000506273257759071,0.101963781027598,9.80457940667654,9.8674405541385,9.99474768476271,10.0630853409167,10.1318541016795,10.2669550822695,10.3361872537413,40562.2360121455,0.999981842678897
"log_lambda[6]",8.16897839345014,0.000491904989933891,0.0996567124600694,7.9161752539678,7.97679123964881,8.10163096997483,8.16758109240457,8.23504506928643,8.36805330041191,8.4350262749405,41044.0923728699,0.999968083178518
"log_lambda[7]",6.59234486184738,0.000562912547319146,0.112388936691981,6.30244491501002,6.37260051070247,6.51628176417026,6.59248372294694,6.66854467292639,6.81163492493258,6.88369270997918,39862.567384843,0.99994571563579
"log_lambda[8]",4.69726627188572,0.000588389577388255,0.118196398264373,4.38934396354168,4.46499519301678,4.61756495412052,4.69697821596762,4.7758847752457,4.93115705358567,5.00507305278082,40353.2523421983,0.999956665740484
"log_lambda[9]",5.12187314115513,0.000616356864139284,0.121814710337716,4.81469046399192,4.88774405723365,5.03942663954462,5.1200141521465,5.20269235120825,5.36568417689845,5.44772491335945,39060.2483121277,0.999978414224372
"log_lambda[10]",3.22679455119347,0.000651592172064093,0.129862486156355,2.89896101671567,2.97477755082179,3.13910907436374,3.22554256045993,3.31254099247764,3.48762862663511,3.57331213283491,39720.5917091186,1.00000075820955
"log_lambda[11]",2.64126741761408,0.000676850705203155,0.134478649412223,2.29964721143673,2.38305747246297,2.54976591537407,2.63957262728576,2.73005358433641,2.91103743806485,2.99926325720928,39474.8879630691,1.00004874390633
"log_lambda[12]",0.746188827652418,0.000742098956148598,0.149371296656189,0.368608827902478,0.459690877051815,0.64548639340517,0.744689699924408,0.845586358947278,1.04314427339696,1.14293545693579,40514.5165208994,1.00005687028412
"log_lambda[13]",5.75471076499235,0.000640124023774818,0.12782859898306,5.43724710087137,5.50865915163218,5.66883641667422,5.75296995734726,5.8391877973207,6.01077831067428,6.09978060029783,39877.4891014842,0.999972378732161
"log_lambda[14]",3.85963217503069,0.000678125772976455,0.136926932766428,3.5077163395558,3.59406105968102,3.76815818658948,3.85933716364143,3.95095570819811,4.13072415230164,4.22815798308088,40771.5534119277,1.00000882609866
"log_lambda[15]",2.28299864342793,0.000710073308171315,0.142047240313902,1.92047039924852,2.00618532174156,2.18736699265855,2.2820001890365,2.37751216512773,2.56238948955823,2.65605423093162,40018.3543958618,1.00001136080393
"log_lambda[16]",0.387920053466271,0.000775607400738813,0.1561746472852,-0.0145523449762385,0.0825134735543273,0.283225496242577,0.387008972418054,0.492644650818044,0.698288389341103,0.801949790719084,40544.9882366851,1.00004323923991
"log_lambda[17]",1.73958382120372,0.0010948539286835,0.217094359883322,1.17234980084065,1.30935854333197,1.59318598937975,1.74177808667712,1.88590884908493,2.16432418059297,2.28907815851698,39317.39349751,1.00000445949934
"log_lambda[18]",-0.155494768757941,0.00113274829223749,0.225920397604972,-0.751294986099862,-0.602355201180843,-0.307123123509667,-0.152639129702866,-0.00300502885681259,0.285450127805033,0.412638075728041,39778.1018310176,0.999984602968802
"log_lambda[19]",-0.741021902337333,0.00116316711532268,0.230147834878694,-1.34809036532616,-1.19443600664784,-0.897447238688594,-0.740116224171073,-0.584340342776606,-0.294017115226249,-0.1616476203289,39149.8007698822,0.999965222184625
"log_lambda[20]",-2.63610049229899,0.00121062472259797,0.243063626075886,-3.28116653263761,-3.11892889406064,-2.79846102336525,-2.63385306987961,-2.47146947740102,-2.16544245931093,-2.02011108213402,40310.749021227,0.999952879858558
"log_lambda[21]",2.37242144504094,0.00105661405829915,0.208977785344815,1.82304119984897,1.96159023919217,2.23171133540642,2.37510742614417,2.51415393118403,2.77607206814998,2.90559424868751,39117.1743190833,0.999962107344325
"log_lambda[22]",0.477342855079284,0.00109022390998139,0.219009525526322,-0.0996995519767067,0.042944376324833,0.330346019938425,0.479619227950028,0.626901813203074,0.899514993559433,1.03265413338791,40354.7446665895,0.999950649662698
