"","mean","se_mean","sd","0.5%","2.5%","25%","50%","75%","97.5%","99.5%","n_eff","Rhat"
"log_lambda[28]",0.165878408001115,0.000177804532212992,0.0357987717851271,0.0732956750021335,0.0946584164375348,0.141863703467797,0.166025084792474,0.190088235601197,0.235211834109393,0.256899371228744,40536.9061743854,0.999999591723221
"log_lambda[29]",5.64639861000811,0.000150650371140066,0.0301228679054597,5.56725646985676,5.58719665631304,5.62621398163626,5.64635774183435,5.6667953414345,5.70461313013482,5.72274151921964,39980.8683889264,0.999993951824974
"log_lambda[30]",3.6422137276016,0.000154720955951014,0.0310069098553274,3.56243639958081,3.58096059655433,3.62133558062844,3.64240111521071,3.66326975311652,3.70230141457403,3.72048623390505,40162.3108513661,1.00000453227463
"log_lambda[31]",2.2544177151616,0.000173568866124743,0.0347379436189775,2.16506682160301,2.18611544257259,2.23085314784487,2.25457115148445,2.27806801489493,2.32159467252321,2.34292507397855,40055.721533961,0.999961962993651
"log_lambda[32]",0.250232832755093,0.000177218387729809,0.0354953954572701,0.158761811179335,0.179744083470978,0.226263421856665,0.25052019770726,0.274366403217943,0.318948505550683,0.339952674771881,40116.8177732861,0.999977844188464
"log_lambda[33]",7.88767254753403,3.83241398589081e-05,0.00758323677409903,7.86807810444107,7.87277420361902,7.88261119744021,7.88766367879494,7.89277582754953,7.90243277059525,7.90708931832361,39152.941894054,0.999950053131948
"log_lambda[34]",5.88348766512752,5.18581238931131e-05,0.0104333851853592,5.85653494666376,5.86294699342124,5.87645740706902,5.88349805636357,5.89056394883687,5.90381685549885,5.91021308005654,40477.798160829,0.999928298899445
"log_lambda[35]",5.3544633878311,9.61387841189023e-05,0.0190820796838469,5.30498911994853,5.31689874655103,5.341714157483,5.35446845437785,5.36739758223968,5.39198482647185,5.40339108948399,39396.1842257032,0.99996206585421
"log_lambda[36]",3.3502785054246,0.000101418450268785,0.0203507969157813,3.29814895872068,3.31010814555852,3.33667799623676,3.35030424657496,3.36398383457137,3.39005993226722,3.4027926470633,40265.1110148757,0.999971023172955
"log_lambda[37]",8.83079870743159,3.27749335143799e-05,0.00642868858354852,8.81412996170582,8.81821575291675,8.82648967968102,8.83081481552955,8.83512208249681,8.84346440203871,8.8476123260113,38473.4505032225,0.999941854661373
"log_lambda[38]",6.82661382502508,4.82443106088037e-05,0.00964507774436342,6.80168736416082,6.80772778097597,6.82013464088803,6.82663585722579,6.8330988284274,6.84552739774593,6.85129336283624,39968.6293764814,0.999959060503761
"log_lambda[39]",5.43881781258508,9.33582759133651e-05,0.0183109260061731,5.39077598777192,5.40243957483642,5.42662298750566,5.43903106053447,5.45109230305003,5.47472489277457,5.48577400477577,38469.3607557501,0.999925360403595
"log_lambda[40]",3.43463293017857,9.9719741985372e-05,0.019650612785871,3.3834804777596,3.39540770559709,3.42147492925018,3.4347178876398,3.4478503514332,3.47287310840402,3.48486818443215,38832.0129387111,0.999952631524493
"log_lambda[41]",6.30108783594831,2.71516480294063e-05,0.00541421310624255,6.28707155885072,6.2903881417051,6.29747941247022,6.30109909768047,6.30474375741038,6.31169966205157,6.31492678402552,39762.9229164694,0.999972713176696
"log_lambda[42]",4.2969029535418,4.51645697730627e-05,0.00901126035305572,4.27381462528796,4.27916597489867,4.29082714634416,4.29694230468582,4.30300586550881,4.31457141922147,4.32030926153076,39808.4547442541,0.999962757516156
"log_lambda[43]",3.76787867624539,9.14901527654261e-05,0.0183130848759121,3.72085847467176,3.73162076660313,3.75556214592397,3.76796709921317,3.78022360727181,3.80363165502833,3.81532017607896,40065.8454060317,0.999977685494763
"log_lambda[44]",1.76369379383888,9.7683122726603e-05,0.0196452872428929,1.71314221646167,1.72526480609815,1.75052263021605,1.76380177431942,1.77693361790023,1.80202898372783,1.81399588653845,40446.1974002061,0.999992323316625
"log_lambda[45]",7.24421399584588,1.81658229502708e-05,0.00362978398818695,7.2348214970362,7.23712661439069,7.24176827130531,7.24421244352597,7.24665691846008,7.25132897288414,7.25345183849985,39925.5959043899,1.00000561910216
"log_lambda[46]",5.24002911343937,4.14511051129821e-05,0.00808788493539481,5.21933802885191,5.22416511868928,5.23455946988783,5.24004734883964,5.24549546302833,5.25591950923357,5.26059653744617,38071.2994846076,1.00002105843999
"log_lambda[47]",3.85223310099937,8.7889735831743e-05,0.0174917255932879,3.80595201443371,3.81749328823524,3.84060044541886,3.85230708538242,3.86400857552442,3.88664605696955,3.8970818733939,39608.554470822,0.999916599906728
